Sr No,businessId,startBucket,endBucket,slope,sentimentAnalysisScore,accuracyScore,confidenceScore
1,q4r4-CLho_L_paKcObKo4g,2016-Q2,2016-Q3,-3.666666666666667,-89.47368421052632,0.9,80.5263157895
2,EtijSxqheu_LHohSvKQfLA,2016-Q2,2016-Q3,-2.6,-90.9090909090909,0.9,81.8181818182
3,C_Tu6eMyzSJhDwg2XXtnUw,2015-Q1,2015-Q2,-2.0,-83.33333333333334,0.9,75.0
4,QqPaQhUZQL-9zzxNJDcriA,2016-Q2,2016-Q3,2.3,-90.9090909090909,0.9,81.8181818182
5,vrkhs3YxUPa21YgkfsveOg,2016-Q2,2016-Q3,-2.3333333333333335,-84.21052631578947,0.9,75.7894736842
6,znmvCpcwxYk_kYCqtUFt5Q,2013-Q1,2013-Q2,-2.8181818181818183,-83.33333333333334,0.9,75.0
7,17FKJgS11HppOf00qXKEqA,2016-Q2,2016-Q3,2.3333333333333335,-84.61538461538461,0.9,76.1538461538
8,V9i9LnTg9H2XvzqCVBSOXg,2011-Q3,2011-Q4,-2.0606060606060606,-85.71428571428571,0.9,77.1428571429
9,RrIUqPDMxD23bCgFHGh6sQ,2016-Q2,2016-Q3,-2.2499999999999996,-88.88888888888889,0.9,80.0
10,1oFvqm7eSpJbVpxpPxueaA,2016-Q2,2016-Q3,2.5384615384615383,-85.71428571428571,0.9,77.1428571429
11,gUz5Gdf7biNIhTQwg2V6Gw,2016-Q2,2016-Q3,-2.473684210526316,-90.47619047619048,0.9,81.4285714286
12,I6fg87AEulZezPpBLQadYw,2016-Q2,2016-Q3,-2.9166666666666665,-92.3076923076923,0.9,83.0769230769
13,kexliej8P8VdxXfMQmyfyQ,2016-Q2,2016-Q3,-2.0999999999999996,-87.5,0.9,78.75
14,9ENO2XnX3rbddsXtjVAUqw,2016-Q2,2016-Q3,2.0833333333333335,-92.85714285714286,0.9,83.5714285714
15,UCid2Tas6K4SB9sHO9gQ8w,2015-Q3,2015-Q4,2.090909090909091,-84.61538461538461,0.9,76.1538461538
16,txjgzrWMeuBJfG8eAv3mow,2015-Q2,2015-Q3,2.0,-100.0,0.9,90.0
17,bdsKG7MQIMmZ73lgOaTZ0A,2015-Q1,2015-Q3,2.6,-90.9090909090909,0.9,81.8181818182
18,vbIgxwyyTq03158xRvnfuQ,2014-Q2,2014-Q3,-2.25,-92.85714285714286,0.9,83.5714285714
19,16VWORTVIsJ6QZt3HTxj3w,2015-Q2,2015-Q3,-2.6363636363636362,-83.33333333333334,0.9,75.0
20,xfSw-RbQ-4ackmmOJmlg6Q,2016-Q2,2016-Q3,-3.5999999999999996,-90.9090909090909,0.9,81.8181818182
21,CvufqyRBbS2Ed2wQlAXCMw,2013-Q2,2013-Q3,-2.153846153846154,-87.5,0.9,78.75
22,mMTlibtg6lZ0FomMqiNcWA,2015-Q4,2016-Q1,-2.0714285714285716,-86.20689655172413,0.9,77.5862068966
23,cTFq_1sAnQUb9eMZO6FlvQ,2016-Q2,2016-Q3,-3.2,-90.9090909090909,0.9,81.8181818182
24,i0rx72IqWuGOyWadGjRLVg,2016-Q2,2016-Q3,2.5,-91.66666666666666,0.9,82.5
25,X5QTGpPfqXFtmtizsGAksw,2011-Q3,2011-Q4,-2.3,-83.33333333333334,0.9,75.0
26,mSbFLlDB5Qu-6al1e2DSBw,2016-Q2,2016-Q3,-3.5384615384615383,-92.85714285714286,0.9,83.5714285714
27,9zUNzGdT-AfVOWrcbD2Vog,2016-Q1,2016-Q2,-2.0,-91.66666666666666,0.9,82.5
28,FSoc19hv_VnUisJ856QZ5w,2016-Q2,2016-Q3,2.642857142857143,-86.66666666666667,0.9,78.0
29,vcB9sr7s4WrcAw8yNbBm7g,2015-Q2,2015-Q3,-2.3076923076923075,-85.18518518518519,0.9,76.6666666667
30,75ryy2cW4JUQ4ZgD4XGSIw,2013-Q3,2013-Q4,-2.0357142857142856,-94.73684210526315,0.9,85.2631578947
31,qXQ3ZBdwI3GlbR5-eYWqNA,2016-Q2,2016-Q3,-2.0,-85.71428571428571,0.9,77.1428571429
32,bVsh5Z6-BrVkhSo9STyk0w,2014-Q4,2015-Q1,-4.0,-86.66666666666667,0.9,78.0
33,sSoqftejBK-j3PWefePqYA,2016-Q2,2016-Q3,-3.45,-85.71428571428571,0.9,77.1428571429
34,KVOqzp3ie3yhXxBnjqNWbQ,2016-Q2,2016-Q3,-3.090909090909091,-83.33333333333334,0.9,75.0
35,_4J7fu3t-3yc4BaNCPN9HA,2016-Q2,2016-Q3,-2.7857142857142856,-86.66666666666667,0.9,78.0
36,e0HQNVQcfsTavbOsIlCd6w,2014-Q4,2015-Q1,-2.590909090909091,-92.3076923076923,0.9,83.0769230769
37,FcBcmHppCJiaMPE-7AQcRQ,2016-Q2,2016-Q3,-3.1739130434782608,-87.5,0.9,78.75
38,0CeEgarUoVP2Nq9s1Mn0Aw,2016-Q2,2016-Q3,-3.416666666666667,-84.61538461538461,0.9,76.1538461538
39,DKY2be7dDX2CT_WB_Dk4pQ,2015-Q3,2015-Q4,2.1333333333333333,-87.5,0.9,78.75
40,24OmQWFTnbfGv-e8GyEMAw,2016-Q2,2016-Q3,-2.090909090909091,-83.33333333333334,0.9,75.0
41,YTIVvEP8QWV3iJUV8JI24w,2016-Q2,2016-Q3,-2.7857142857142856,-87.5,0.9,78.75
42,00xD3o61AjrGOpEHiGPEwg,2016-Q2,2016-Q3,-2.125,-83.33333333333334,0.9,75.0
43,-wvryBujtHabx4jCW98eqQ,2015-Q2,2015-Q3,-2.883333333333333,-94.11764705882352,0.9,84.7058823529
44,Yet-ozuhwfG5NLeLqeKcWg,2015-Q3,2015-Q4,-2.5,-85.71428571428571,0.9,77.1428571429
45,zDGhPMIxPcjKWVyXROjUzw,2015-Q2,2015-Q3,2.242424242424242,-94.11764705882352,0.9,84.7058823529
46,XuJwbaXrRZfnFtPxXCeJ2w,2016-Q2,2016-Q3,2.3289473684210527,-95.65217391304348,0.9,86.0869565217
47,kQzJki9E0ducGKz-CAn_XA,2015-Q4,2016-Q1,-2.066666666666667,-88.88888888888889,0.9,80.0
